State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week
Louisiana,Cloudy,2011-01-01,1,Urban-Principal Arterial-Interstate,32,0.13,Pedestrian,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Louisiana,Cloudy,2011-01-01,1,Urban-Principal Arterial-Interstate,36,0.11,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Maine,Clear,2011-01-07,1,Rural-Local Road or Street,20,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,7,5
Maine,Clear,2011-01-07,1,Rural-Local Road or Street,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,7,5
Maryland,Rain,2011-01-01,1,Rural-Major Collector,84,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,1,6
Minnesota,Clear,2011-01-04,2,Urban-Minor Arterial,40,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,4,2
Mississippi,Clear,2011-01-02,1,Rural-Principal Arterial-Other,56,0.0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,2,7
Missouri,Clear,2011-01-02,1,Urban-Collector,19,0.17,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,2,7
Montana,Clear,2011-01-22,1,Urban-Other Principal Arterial,17,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,22,6
Montana,Clear,2011-01-22,1,Urban-Other Principal Arterial,18,,Passenger of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,22,6
Montana,Clear,2011-01-22,1,Urban-Other Principal Arterial,53,0.28,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,22,6
Nebraska,Clear,2011-01-01,1,Rural-Minor Arterial,52,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
New Hampshire,Clear,2011-01-03,1,Urban-Local Road or Street,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,3,1
New Hampshire,Clear,2011-01-03,1,Urban-Local Road or Street,58,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,3,1
New Mexico,Clear,2011-01-03,1,Urban-Principal Arterial-Other Freeways or Expressways,47,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,3,1
New Mexico,Clear,2011-01-03,1,Urban-Principal Arterial-Other Freeways or Expressways,72,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,3,1
Alabama,Clear,2011-01-04,1,Rural-Principal Arterial-Other,55,0.2,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,4,2
Arizona,Clear,2011-01-01,1,Urban-Other Principal Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
California,Cloudy,2011-01-03,1,Rural-Major Collector,80,0.0,Driver of a Motor Vehicle In-Transport,Unknown,\N,Female,Fatal Injury (K),2011,1,3,1
Delaware,Cloudy,2011-01-04,1,Urban-Other Principal Arterial,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,4,2
Delaware,Cloudy,2011-01-04,1,Urban-Other Principal Arterial,26,,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,4,2
District of Columbia,Clear,2011-01-14,2,Urban-Local Road or Street,27,0.0,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,14,5
District of Columbia,Clear,2011-01-14,2,Urban-Local Road or Street,50,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,14,5
Florida,Rain,2011-01-01,1,Urban-Minor Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Georgia,"Fog, Smog, Smoke",2011-01-01,1,Urban-Local Road or Street,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,4,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,12,0.0,Passenger of a Motor Vehicle In-Transport,Not Reported,Other Asian or Pacific Islander,Male,Fatal Injury (K),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,14,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,21,0.18,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Incapacitating Injury (A),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,29,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,34,0.0,Driver of a Motor Vehicle In-Transport,Unknown,,Female,Incapacitating Injury (A),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,42,0.0,Driver of a Motor Vehicle In-Transport,Unknown,Filipino,Female,Fatal Injury (K),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,48,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,1,6
Idaho,Clear,2011-01-02,1,Rural-Principal Arterial-Interstate,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,2,7
Indiana,Rain,2011-01-01,1,Rural-Local Road or Street,33,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,1,6
Iowa,Clear,2011-01-02,1,Urban-Minor Arterial,43,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,2,7
Kansas,Clear,2011-01-02,2,Rural-Principal Arterial-Other,62,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,2,7
Kentucky,Clear,2011-01-01,2,Urban-Other Principal Arterial,3,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Kentucky,Clear,2011-01-01,2,Urban-Other Principal Arterial,8,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Kentucky,Clear,2011-01-01,2,Urban-Other Principal Arterial,33,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Maine,Clear,2011-01-03,2,Rural-Major Collector,55,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,3,1
Maine,Clear,2011-01-03,2,Rural-Major Collector,93,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,3,1
Maryland,Rain,2011-01-01,1,Urban-Principal Arterial-Interstate,30,0.17,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),2011,1,1,6
Michigan,Rain,2011-01-01,1,Rural-Major Collector,42,0.22,Pedestrian,No,White,Male,Fatal Injury (K),2011,1,1,6
Minnesota,Snow,2011-01-03,1,Urban-Minor Arterial,37,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,3,1
Missouri,Cloudy,2011-01-01,1,Rural-Principal Arterial-Interstate,31,0.21,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Montana,Blowing Snow,2011-01-05,1,Rural-Principal Arterial-Other,63,0.0,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,5,3
Montana,Blowing Snow,2011-01-05,1,Rural-Principal Arterial-Other,63,,Passenger of a Motor Vehicle In-Transport,No,,Female,Possible Injury (C),2011,1,5,3
Nebraska,Clear,2011-01-01,1,Rural-Local Road or Street,39,0.14,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,1,6
Nevada,Cloudy,2011-01-03,1,Urban-Minor Arterial,46,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,3,1
New Mexico,Clear,2011-02-12,1,Urban-Collector,49,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,2,12,6
North Carolina,Snow,2011-01-07,2,Rural-Major Collector,23,,Passenger of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,1,7,5
North Carolina,Snow,2011-01-07,2,Rural-Major Collector,35,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,7,5
North Carolina,Snow,2011-01-07,2,Rural-Major Collector,54,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,7,5
Ohio,Cloudy,2011-01-01,1,Urban-Other Principal Arterial,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Ohio,Cloudy,2011-01-01,1,Urban-Other Principal Arterial,35,0.18,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Oklahoma,Clear,2011-01-01,2,Rural-Local Road or Street,48,0.22,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,1,6
Oregon,Clear,2011-01-02,1,Rural-Principal Arterial-Other,23,,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Non-incapacitating Evident Injury (B),2011,1,2,7
Oregon,Clear,2011-01-02,1,Rural-Principal Arterial-Other,23,,Passenger of a Motor Vehicle In-Transport,Unknown,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7
Rhode Island,Clear,2011-01-04,1,Urban-Principal Arterial-Other Freeways or Expressways,26,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,4,2
South Dakota,Clear,2011-01-05,1,Urban-Minor Arterial,24,0.35,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,5,3
Tennessee,Rain,2011-02-01,1,Rural-Principal Arterial-Interstate,45,0.0,Passenger of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),2011,2,1,2
Tennessee,Rain,2011-02-01,1,Rural-Principal Arterial-Interstate,49,0.0,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,2,1,2
